alongside, [ə`lɔŋ`saɪd] adv.prep.並排(地)
alternative, [ɔl`tɝnətɪv] adj.替代的 n.選擇
abbreviate, [ə`brivɪ͵et] vt.vi.縮寫
ambiguity, [͵æmbɪ`gjuətɪ] n.模稜兩可
abbreviation, [ə͵brivɪèʃən] n.縮寫
ambiguous, [æ m`bɪgjʊəs] adj.模稜兩可的
abnormal, [æ b`nɔrm!] adj.異常的
ambulance, [`æ mbjələns] n.救護車
aboriginal, [͵æbə`rɪdʒən!] adj.原生的
ambush, [`æ mbʊʃ] n.vt.vi.埋伏
aborigine, [æ bə`rɪdʒəni] n.原住民
amiable, [èmɪəb!] adj.和藹的
abound, [ə`baʊnd] vi.充滿
amplify, [`æ mplə͵faɪ] vt.vi.增強
absentminded, [`æ bsnt`maɪndɪd] adj.心不在焉的
analects, [͵ænə`lɛkts] n.語錄
analogy, [ə`næ lədʒɪ] n.相似之處
abstraction, [æ b`stræ kʃən] n.抽象
analyst, [`æ n!ɪst] n.分析師
abundance, [ə`bʌndəns] n.充裕
analytical, [ˌænəˈlɪtɪk(ə)l] adj.分析的；有條理的
abuse, [ə`bjus] n.vt.虐待
anecdote, [`æ nɪk͵dot] n.軼事
accelerate, [æ k`sɛlə͵ret] vt.vi.加速
animate, [`æ nə͵met] vt.賦予生命 adj.活的
acceleration, [æk͵sɛlə`reʃən] n.加速
annoyance, [ə`nɔɪəns] n.惱怒
accessible, [æ k`sɛsəb!] adj.易接近的
anonymous, [ə`nɑnəməs] adj.匿名的
accessory, [æ k`sɛsərɪ] n.配件
Antarctic, [æ n`tɑrktɪk] n.adj.南極(的)(大寫)
antarctic, [æ n`tɑrktɪk] n.adj.南極(的)(小寫)
accommodate, [ə`kɑmə͵det] vt.容納
antenna, [æ n`tɛnə] n.天線
accommodation, [ə͵kɑmə`deʃən] n.住宿
antibiotic, [͵æntɪbaɪ`ɑtɪk] n.adj.抗生素
accord, [ə`kɔrd] vt.vi.n.(使…)一致
antibody, [`æ ntɪ͵bɑdɪ] n.抗體
accordance, [ə`kɔrdəns] n.一致
